arise
be
be
beat
become
begin
bend
bet
bite
bleed
blow
break
breed
bring
broadcast
build
burn
burst
buy
catch
choose
come
cost
creep
cut
deal
dig
do
draw
dream
drink
drive
eat
fall
feed
feel
fight
find
fly
borbid
forget
forgive
freeze
get
give
go
grow
hang
have
hear
hide
hit
hold
hurt
keep
kneel
know
lay
lead
lean
learn
leave
lend
let
lie
light
lose
make
mean
meet
pay
put
quit
read
ride
ring
rise
run
say
see
sell
send
set
sew
shake
shine
shoe
shoot
show
shrink
shut
sing
sink
sit
sleep
slide
slide
smell
sow
speak
speed
spell
spend
spill
spit
split
spoil
spread
spring
stand
steal
stick
sting
stink
strike
swear
sweep
swell
swim
swing
take
teach
tear
tell
think
throw
understand
wake
wear
weep
win
write

