root
stem
leaf
flower
petal
sepal
bud
fruit
seed
node
internode
shoot
branch
trunk
pollen
stigma
style
ovary
anther
filament
fertilizer
shovel
trowel
pruners
rake
hoe
gloves
watering can
wheelbarrow
insecticide
compost
mulch
spade
sprinkler

