fern
ivy
cactus
moss
bamboo
grass
aloe
lavender
rosemary
thyme
sage
mint
oregano
basil
clover
dandelion
nettle
heather
foxglove
yucca
orchid
bromeliad
philodendron
pothos
agave
palm grass
fern moss
snake plant
rubber plant
peace lily
fiddle leaf fig
spider plant
croton
jade plant
dracaena
hosta
hydrangea
bougainvillea
coleus
begonias

