cloth
cotton
lace
leather
linen
man-made fibres
nylon
polyester
silk
wool
acrylic
spandex
rayon
velvet
denim
canvas
felt
jute
polypropylene
rubber
foam
fiberglass
carbon fiber
PVC
polyvinyl chloride
teflon
metal mesh
cardboard
paperboard
adhesive tape
ceramics

