laptop
desktop computer
desktop
tablet computer
tablet
pc
personal computer
computer
screen
keyboard
mouse
monitor
printer
wireless router
cable
hard drive
speakers
power cable
Email
email
to email
to send an email
email address
username
password
new message
attachment
internet
website
broadband internet
broadband
isp
internet service provider
firewall
web hosting
wireless internet
wifi
browser
file
folder
document
hardware
software
network
space bar
virus
antivirus software
processor speed
memory
word processor
database
spreadsheet
lower case letter
upper case letter
capital letter

