big
huge
immense
enormous
mammoth
massive
vast
large
wide
spacious
small
little
tiny
long
tall
short
gigantic
teeny
weeny
petite
colossal
microscopic
miniature
puny
molecular
itty-bitty
minuscule
subatomic
wee
bitesized
teensy
minute
compact
mini
toy
shrunken
pygmy
baby
dwarfed
bitty
diminutive
medium
sizable
giant
mega
titanic
humongous
ginormous
gargantuan
tremendous
supercolossal
monumental
bulky
oversized
slender
narrow
stout
hefty
hulking
elongated
plump
stocky
trim
pint-sized
jumbo
minuscule
voluminous
skimpy
ample
grand
stunted

