good
excellent
brilliant
splendid
fantastic
magnificent
bad
terrible
awesome
awful
nice
right
wrong
funny
amusing
entertaining
light
heavy
fat
stout
thin
slim
clean
dirty
filthy
straight
noisy
quiet
still
tranquil
calm
powerful
nutritious
adventurous
aggressive
alert
attractive
exciting
graceful
fragile
frail
weak
strong
doubtful
bewildered
confused
puzzled
cautious
careful
concerned
innocent
guilty
crazy
silly
stupid
foolish
clumsy
intelligent
clever
cunning
shy
timid
rich
poor
wild
defiant
courageous
brave
helpful
helpless
unhelpful
charming
radiant
serene
mature
youthful
vibrant
majestic

