important
principal
paramount
famous
notorious
fictitious
real
true
false
imaginary
alive
dead
odd
weird
unusual
strange
outstanding
impossible
improbable
easy
difficult
closed
open
temporary
permanent
necessary
optional
unavoidable
avoidable
flexible
possible
probable
certain
uncertain
conditional
inevitable
adjustable
reliable
adequate
inadequate
careful
clever
gifted
hallowed
helpful
inexpensive
mealy
mushy
poor
powerful
rich
shy
tender
unimportant
uninterested
vast
wrong

