old
ancient
aged
senile
elderly
ageless
oldish
overage
young
juvenile
adolescent
teenage
underage
youthful
middle-aged
mature
senior
prime
pre-adolescent
geriatric
old-fashioned
ancient
fresh
young-at-heart

