accountant
actuary
advertising executive
bank clerk
bank manager
businessman
businesswoman
economist
financial adviser
health and safety officer
hr manager
human resources manager
insurance broker
pa
personal assistant
investment analyst
project manager
marketing director
management consultant
manager
office worker
receptionist
recruitment consultant
sales rep
sales representative
salesman
saleswoman
secretary
stockbroker
telephonist

