antique dealer
art dealer
baker
barber
beautician
bookkeeper
bookmaker
butcher
buyer
cashier
estate agent
fishmonger
florist
greengrocer
hairdresser
sales assistant
shop assistant
shopkeeper
store detective
store manager
tailor
travel agent
wine merchant

