oak
maple
pine
birch
cedar
spruce
willow
cherry
apple
ash
elm
fir
cypress
beech
poplar
sycamore
linden
alder
hickory
chestnut
juniper
redwood
sequoia
magnolia
dogwood
banyan
baobab
eucalyptus
palm
acacia
yew
aspen
cottonwood
sassafras
hornbeam
hawthorn
teak
mahogany
walnut
holly

