happy
glad
beatific
blissful
cheerful
chirpy
content
pleased
satisfied
delighted
ecstatic
exalted
elated
sad
bereft
blue
broken-hearted
broody
bruised
careworn
deflated
dark
demoralized
depressed
desolate
despondent
disaffected
disappointed
disconsolate
discouraged
dismal
disillusioned
disheartened
dismayed
displeased
dissatisfied
distressed
distraught
doleful
down
downcast
downhearted
forlorn
tender
angry
excited
envious
embarrassed
frightened
resentful
suspicious
possessive
insecure
covetous
greedy
grudging
malicious
jealous-hearted

