arisen
been
been
beaten
become
begun
bent
bet
bitten
bled
blown
broken
bred
brought
broadcast
built
burnt
burst
bought
caught
chosen
come
cost
crept
cut
dealt
dug
done
drawn
dreamt
drunk
driven
eaten
fallen
fed
felt
fought
found
flown
forbidden
forgotten
forgiven
frozen
got
given
gone
grown
hung
had
heard
hidden
hit
held
hurt
kept
knelt
known
laid
led
leant
learnt
left
lent
let
lain
lit
lost
made
meant
met
paid
put
quit
read
ridden
rung
risen
run
said
seen
sold
sent
set
sewn
shaken
shone
shod
shot
shown
shrunk
shut
sung
sunk
sat
slept
slept
slid
smelt
sown
spoken
sped
spelt
spent
spilt
spat
split
spoilt
spread
sprung
stood
stolen
stuck
stung
stunk
struck
sworn
swept
swollen
swum
swung
taken
taught
torn
told
thought
thrown
understood
woken
worn
wept
won
written

