act
add
answer
appear
ask
assist
attack
attend
bank
board
boil
box
brainstorm
broil
brush
burn
burp
carpool
cash
check
clean
clear
collect
comb
construct
cook
correct
cough
cover
crash
cross
deliver
deposit
design
discuss
dress
drill
dust
edit
end
enter
establish
explain
faint
fasten
fix
floss
fold
follow
form
grill
guard
hand
help
insert
invent
iron
kick
land
leak
learn
lengthen
lift
listen
load
look
lower
mark
match
mix
mow
obey
opeb
paint
park
pass
peel
plant
play
polish
pour
print
reach
record
register
relax
repair
repeat
request
respond
rest
return
roast
rock
saute
scratch
seat
select
shorten
sign
simmer
sort
spell
sprain
steam
stow
stretch
surf
swallow
talk
turn
twist
unload
vacuum
vomit
walk
wash
watch
wax
weed
whiten
work
assemble
bake
balance
barbecue
bathe
bounce
browse
bruise
bubble
change
circle
close
combine
declare
describe
dislocate
dive
dribble
enforce
erase
examine
exchange
exercise
experience
file
gargle
grate
hire
manage
measure
microwave
move
nurse
operate
organize
overdose
practice
prepare
produce
pronounce
prune
raise
rake
recite
recycle
remove
revise
rinse
save
scrape
serve
share
shave
slice
sneeze
state
style
supervise
translate
type
underline
unscramble
use
vote
wheeze
chop
hop
knit
mop
plan
occur
skip
stir
stop
transfer
trim
apply
copy
dry
empty
fry
stir fry
study
try
accept
achieve
admire
admit
adopt
advise
agree
allow
announce
appreciate
approve
argue
arrive
bake
beg
behave
borrow
bury
call
challenge
change
chase
cheat
cheer
chew
clap
complain
copy
count
create
cry
cycle
damage
dance
destroy
divide
drag
earn
employ
encourage
enjoy
establish
estimate
exercise
expand
fry
gather
greet
guess
harass
hate
identify
interrupt
introduce
irritate
joke
jump
kill
laugh
lie
marry
measure
move
murder
need
obey
offend
offer
phone
pick
pray
purchase
push
question
race
relax
remember
reply
retire
scold
select
smoke
snore
stare
study
thank
travel
trouble
wink
worry

