new year s day
international women s day
easter
labor day
christmas day
valentine s day
international day of peace
halloween
new year s eve
april fools day
good friday
easter monday
may day
christmas
christmas eve
boxing day
mother s day
father s day
bank holiday or public holiday
chinese new year
independence day
thanksgiving
saint patrick s day

