carp
catfish
cod
dolphin
eel
haddock
herring
jellyfish
mackerel
octopus
plaice
salmon
sea lion
seal
shark
squid
stingray
trout
tuna
walrus
whale
crab
crayfish
lobster
mussel
oyster
prawn
sea urchin
shrimp
starfish
fin
gills
scales
aquarium
fish tank
pincers

