alligator
antelope
bear
camel
chimpanzee
crocodile
elephant
emu
giraffe
gorilla
hippopotamus
kangaroo
leopard
lion
monkey
ostrich
panda
penguin
polar bear
reindeer
rhino
rhinoceros
snake
tiger
wolf
zebra

