blackbird
bluetit
buzzard
crow
cuckoo
dove
duck
eagle
finch
flamingo
hawk
heron
kingfisher
magpie
nightingale
owl
pheasant
pigeon
raven
robin
seagull
sparrow
stork
swallow
swan
thrush
woodpecker
wren
vulture
beak
feathers
wing
chick
duckling
egg
nest
bird of prey
seabird

