rose
daisy
tulip
sunflower
lily
daffodil
marigold
carnation
peony
iris
violet
orchid
magnolia
lavender
poppy
hibiscus
jasmine
chrysanthemum
gardenia
lilac
azalea
camellia
zinnia
pansy
petunia
snapdragon
hollyhock
primrose
geranium
anemone
bluebell
cosmos
foxglove
dahlia
lupine
freesia
hydrangea
gladiolus
buttercup
delphinium

