wow
oops
ouch
yay
oh
ugh
ah
hey
huh
phew
ew
aha
yikes
bravo
duh
hooray
alas
boo
yum
shh
hmm
hoorah
bah
tsk
zing
argh
aw
psst
eureka
whoa

