addition
subtraction
multiplication
division
total
arithmetic
algebra
geometry
calculus
statistics
integer
even number
odd number
prime number
fraction
decimal
decimal point
percent
percentage
theorem
proof
problem
solution
formula
equation
graph
axis
average
correlation
probability
dimensions
area
circumference
diameter
radius
length
height
width
perimeter
angle
right angle
line
straight line
curve
parallel
tangent
volume
circle
triangle
square
rectangle
pentagon
hexagon
octagon
oval
star
polygon
cone
cube
cylinder
pyramid
sphere
plus
minus
times
squared
cubed
square root
equals

