

aluminium
iron
copper
silver
gold
titanium
zinc
lead
nickel
chromium
platinum
tin
magnesium
tungsten
cobalt
palladium
molybdenum
bismuth
mercury
cadmium
brass
bronze
steel
uranium
alloy

