europe
asia
north america
south america
africa
australasia
oceania
antarctica
pacific
atlantic
indian ocean
southern ocean
mediterranean
caribbean
baltic sea
black sea
caspian sea
arabian sea
english channel
arctic
sahara
amazon
alps
andes
thames
rhine
danube
nile
amazon
volga
ganges
yangtze
mississippi

