father
dad
mother
mum
son
daughter
parent
child
children
husband
wife
brother
sister
uncle
aunt
nephew
niece
cousin
grandmother
granny
grandma
grandfather
granddad
grandpa
grandparents
grandson
granddaughter
grandchild
grandchildren
boyfriend
girlfriend
partner
fiancé
fiancée
godfather
godmother
godson
goddaughter
stepfather
stepmother
stepson
stepdaughter
stepbrother
stepsister
half-sister
half-brother
mother-in-law
father-in-law
son-in-law
daughter-in-law
sister-in-law
brother-in-law
relation
relative
twin
to be born
to die
to get married
to get divorced
to adopt
adoption
adopted
only child
single parent
single mother
infant
baby
toddler
marriage
wedding
bride
bridegroom
best man
bridesmaid
wedding cake
honeymoon
honeymooners
anniversary

