round
square
oval
rectangular
triangular
circular
flat
pointed
curved
symmetrical
asymmetrical
angular
elongated
bulbous
spiky
conical
hemispherical
tetrahedral
pyramidal
wavy
cylindrical
spherical
diamond-shaped
heart-shaped
star-shaped
blob-shaped
hexagonal
octagonal
spiral

