school
nursery school
primary school
secondary school
state school
private school
independent school
boarding school
sixth form college
technical college
vocational college
art college
teacher training college
university
classroom
desk
blackboard
whiteboard
chalk
marker pen
marker
pen
pencil
exercise book
lesson
homework
test
term
half term
class
reading
writing
arithmetic
spelling
head teacher
headmaster
headmistress
teacher
pupil
head boy
head girl
prefect
school governor
governor
register
assembly
break
school holidays
school meals
school dinners
computer room
cloakroom
changing room
gym
gymnasium
playground
library
lecture hall
laboratory
lab
language lab
language laboratory
hall of residence
locker
playing field
sports hall
professor
lecturer
researcher
research
undergraduate
graduate
post graduate
post graduate student
masters student
phd student
master s degree
bachelor s degree
degree
thesis
dissertation
lecture
debate
higher education
semester
student loan
student union
tuition fees
university campus
exam
examination
essay
paper
student
curriculum
course
subject
grade
mark
exam results
qualification
certificate
attendance
calculator
projector
textbook
question
answer
mistake
error
right
correct
wrong

