arose
was
were
beat
became
began
bent
bet
bit
bled
blew
broke
bred
brought
broadcast
built
burnt
burst
bought
caught
chose
came
cost
crept
cut
dealt
dug
did
drew
dreamt
drank
drove
ate
fell
fed
felt
fought
found
flew
forbade
forgot
forgave
froze
got
gave
went
grew
hung
had
heard
hid
hit
held
hurt
kept
knelt
knew
laid
led
leant
learnt
left
lent
let
lay
lit
lost
made
meant
met
paid
put
quit
read
rode
rang
rose
ran
said
saw
sold
sent
set
sewed
shook
shone
shod
shot
showed
shrank
shut
sang
sank
sat
slept
slept
slid
smelt
sowed
spoke
sped
spelt
spent
spilt
spat
split
spoilt
spread
sprang
stood
stole
stuck
stung
stank
struck
swore
swept
swelled
swam
swung
took
taught
tore
told
thought
threw
understood
woke
wore
wept
won
wrote

